Visitor,G,Home,G2
Pittsburgh Penguins,6,Tampa Bay Lightning,2
Seattle Kraken,3,Vegas Golden Knights,4
Winnipeg Jets,1,Anaheim Ducks,4
Chicago Blackhawks,2,Colorado Avalanche,4
Vancouver Canucks,2,Edmonton Oilers,3
Montreal Canadiens,1,Toronto Maple Leafs,2
New York Rangers,1,Washington Capitals,5
Montreal Canadiens,1,Buffalo Sabres,5
New York Islanders,3,Carolina Hurricanes,6
Arizona Coyotes,2,Columbus Blue Jackets,8
Tampa Bay Lightning,7,Detroit Red Wings,6
Pittsburgh Penguins,4,Florida Panthers,5
Vegas Golden Knights,2,Los Angeles Kings,6
Seattle Kraken,4,Nashville Predators,3
Dallas Stars,3,New York Rangers,2
Toronto Maple Leafs,2,Ottawa Senators,3
Minnesota Wild,2,Anaheim Ducks,1
Chicago Blackhawks,3,New Jersey Devils,4
Vancouver Canucks,5,Philadelphia Flyers,4
Dallas Stars,1,Boston Bruins,3
Arizona Coyotes,1,Buffalo Sabres,2
Seattle Kraken,1,Columbus Blue Jackets,2
St. Louis Blues,5,Colorado Avalanche,3
Vancouver Canucks,1,Detroit Red Wings,3
Calgary Flames,2,Edmonton Oilers,5
New York Islanders,1,Florida Panthers,5
Minnesota Wild,3,Los Angeles Kings,2
New York Rangers,3,Montreal Canadiens,1
Carolina Hurricanes,3,Nashville Predators,2
Chicago Blackhawks,2,Pittsburgh Penguins,5
Winnipeg Jets,3,San Jose Sharks,4
Ottawa Senators,1,Toronto Maple Leafs,3
Tampa Bay Lightning,2,Washington Capitals,1
Dallas Stars,2,Ottawa Senators,3
St. Louis Blues,7,Arizona Coyotes,4
Anaheim Ducks,3,Calgary Flames,2
Seattle Kraken,1,Philadelphia Flyers,6
New York Rangers,2,Toronto Maple Leafs,1
Vancouver Canucks,2,Buffalo Sabres,5
New York Islanders,4,Chicago Blackhawks,1
Columbus Blue Jackets,1,Detroit Red Wings,4
Anaheim Ducks,5,Edmonton Oilers,6
Winnipeg Jets,5,Minnesota Wild,6
San Jose Sharks,5,Montreal Canadiens,0
Seattle Kraken,2,New Jersey Devils,4
Los Angeles Kings,1,Nashville Predators,2
Dallas Stars,2,Pittsburgh Penguins,1
Florida Panthers,4,Tampa Bay Lightning,1
Colorado Avalanche,3,Washington Capitals,6
Boston Bruins,3,Philadelphia Flyers,6
St. Louis Blues,3,Vegas Golden Knights,1
Edmonton Oilers,5,Arizona Coyotes,1
New York Islanders,2,Columbus Blue Jackets,3
Vancouver Canucks,4,Chicago Blackhawks,1
Calgary Flames,3,Detroit Red Wings,0
Colorado Avalanche,1,Florida Panthers,4
Carolina Hurricanes,4,Montreal Canadiens,1
Washington Capitals,4,New Jersey Devils,1
New York Rangers,3,Nashville Predators,1
San Jose Sharks,2,Ottawa Senators,1
Anaheim Ducks,1,Winnipeg Jets,5
Boston Bruins,4,Buffalo Sabres,1
Los Angeles Kings,2,Dallas Stars,3
San Jose Sharks,5,Toronto Maple Leafs,3
Edmonton Oilers,5,Vegas Golden Knights,3
New York Islanders,3,Arizona Coyotes,0
Carolina Hurricanes,5,Columbus Blue Jackets,1
Anaheim Ducks,3,Minnesota Wild,4
